                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.95738,                 1.4032,                 1.8586,                 1.0239,                0.93265,                0.19794,                0.28553,                 0.1773,                0.93265,                0.19794,                0.26895,                0.16518,                 1.3704,                 3.3383,                 3.7494,                 1.3726,              0.0007063,              0.0007063,              0.0007063
                     92,                0.98781,                 1.1473,                 1.7303,                 1.0282,                0.92978,                0.18934,                0.28529,                0.17033,                0.92978,                0.18934,                0.28529,                0.17839,                 1.3273,                 2.9209,                 3.7383,                  1.377,               0.000703,               0.000703,               0.000703
                     93,                0.97552,                 1.1759,                 1.6499,                0.96667,                0.92978,                0.18934,                0.28529,                0.17033,                0.92978,                0.18934,                0.28529,                0.17839,                 1.3273,                 2.9209,                 3.7383,                  1.377,              0.0006997,              0.0006997,              0.0006997
                     94,                0.97824,                 1.2421,                  1.811,                 1.0429,                0.11368,                    0.6,                0.30302,                0.20224,                0.11368,                    0.6,                0.30302,                0.20547,                 1.3578,                 2.7747,                 3.5507,                 1.4091,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.1022,                 1.1957,                 2.4573,                 1.0222,                0.11368,                    0.6,                0.30302,                0.20224,                0.11368,                    0.6,                0.30302,                0.20547,                 1.3578,                 2.7747,                 3.5507,                 1.4091,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.0938,                 1.5521,                 2.1543,                 1.1221,                0.53334,                0.58961,                0.25186,                0.16757,                0.53334,                0.58961,                 0.2439,                0.16604,                 1.3711,                 2.9307,                 3.5113,                 1.4158,              0.0006898,              0.0006898,              0.0006898
                     97,                0.78022,                 1.2803,                 1.9438,                0.99974,                0.53334,                0.58961,                0.25186,                0.16757,                0.53334,                0.58961,                 0.2439,                0.16604,                 1.3711,                 2.9307,                 3.5113,                 1.4158,              0.0006865,              0.0006865,              0.0006865
                     98,                 1.0726,                 1.3057,                 2.1346,                 1.0379,                0.50764,                    0.5,                0.33345,                 0.2279,                0.50764,                    0.5,                 0.3235,                0.22276,                 1.3574,                 2.9739,                 3.4899,                 1.4221,              0.0006832,              0.0006832,              0.0006832
                     99,                  1.176,                  1.648,                 1.9471,                 1.1302,                0.50764,                    0.5,                0.33345,                 0.2279,                0.50764,                    0.5,                 0.3235,                0.22276,                 1.3574,                 2.9739,                 3.4899,                 1.4221,              0.0006799,              0.0006799,              0.0006799
                    100,                 0.9979,                 1.3176,                 1.7234,                0.99675,                0.30514,                 0.5488,                0.29547,                0.21063,                0.89539,                    0.2,                0.27742,                0.19473,                 1.3395,                 3.1019,                 3.7527,                 1.3762,              0.0006766,              0.0006766,              0.0006766
